fil,X,Y,Z,ydir,zdir,length,relative_angle,relative_angle_90,dot_product
45,1131,719,259,-45.57071284395576,12.894757254636815,22.40535650240808,84.8867723089311,-5.113227691068897,-0.08912424727057061
45,1115,703,254,-45.57071284395576,12.894757254636815,22.40535650240808,84.8867723089311,-5.113227691068897,-0.08912424727057061
47,1164,562,117,39.59230572063386,-29.015118632674753,177.30482226944648,164.94258234775242,74.9425823477524,0.9656659717387783
47,1128,593,140,39.59230572063386,-29.015118632674753,177.30482226944648,164.94258234775242,74.9425823477524,0.9656659717387783
47,1117,598,146,39.59230572063386,-29.015118632674753,177.30482226944648,164.94258234775242,74.9425823477524,0.9656659717387783
47,1106,607,153,39.59230572063386,-29.015118632674753,177.30482226944648,164.94258234775242,74.9425823477524,0.9656659717387783
47,1077,634,172,39.59230572063386,-29.015118632674753,177.30482226944648,164.94258234775242,74.9425823477524,0.9656659717387783
47,1028,675,203,39.59230572063386,-29.015118632674753,177.30482226944648,164.94258234775242,74.9425823477524,0.9656659717387783
48,1113,623,155,75.60839860307912,-12.430124317106351,27.874719729532707,126.37379069426993,36.37379069426992,0.5930506349741267
48,1119,650,161,75.60839860307912,-12.430124317106351,27.874719729532707,126.37379069426993,36.37379069426992,0.5930506349741267
49,507,473,153,-27.412702477819376,9.765714215391133,247.61260064867457,19.961919466233805,-70.03808053376619,-0.939919730307718
49,551,447,153,-27.412702477819376,9.765714215391133,247.61260064867457,19.961919466233805,-70.03808053376619,-0.939919730307718
49,591,425,145,-27.412702477819376,9.765714215391133,247.61260064867457,19.961919466233805,-70.03808053376619,-0.939919730307718
49,611,412,141,-27.412702477819376,9.765714215391133,247.61260064867457,19.961919466233805,-70.03808053376619,-0.939919730307718
49,646,400,135,-27.412702477819376,9.765714215391133,247.61260064867457,19.961919466233805,-70.03808053376619,-0.939919730307718
49,677,380,128,-27.412702477819376,9.765714215391133,247.61260064867457,19.961919466233805,-70.03808053376619,-0.939919730307718
49,727,359,111,-27.412702477819376,9.765714215391133,247.61260064867457,19.961919466233805,-70.03808053376619,-0.939919730307718
50,587,437,145,17.88886285280808,7.4311909336741255,61.85466837676846,64.41765774864271,-25.58234225135729,-0.43180779626116333
50,601,443,143,17.88886285280808,7.4311909336741255,61.85466837676846,64.41765774864271,-25.58234225135729,-0.43180779626116333
50,633,451,138,17.88886285280808,7.4311909336741255,61.85466837676846,64.41765774864271,-25.58234225135729,-0.43180779626116333
50,646,456,137,17.88886285280808,7.4311909336741255,61.85466837676846,64.41765774864271,-25.58234225135729,-0.43180779626116333
51,909,617,200,85.62791938925949,-1.7671579913305053,97.28309205612247,132.54413121926,42.54413121926,0.6761578840262631
51,910,649,205,85.62791938925949,-1.7671579913305053,97.28309205612247,132.54413121926,42.54413121926,0.6761578840262631
51,910,677,206,85.62791938925949,-1.7671579913305053,97.28309205612247,132.54413121926,42.54413121926,0.6761578840262631
51,912,690,205,85.62791938925949,-1.7671579913305053,97.28309205612247,132.54413121926,42.54413121926,0.6761578840262631
51,916,714,203,85.62791938925949,-1.7671579913305053,97.28309205612247,132.54413121926,42.54413121926,0.6761578840262631
52,826,522,249,39.89522957172396,25.12798019906151,226.07299706068392,82.61175037841804,-7.388249621581967,-0.12859221918000507
52,847,540,238,39.89522957172396,25.12798019906151,226.07299706068392,82.61175037841804,-7.388249621581967,-0.12859221918000507
52,867,561,226,39.89522957172396,25.12798019906151,226.07299706068392,82.61175037841804,-7.388249621581967,-0.12859221918000507
52,896,589,210,39.89522957172396,25.12798019906151,226.07299706068392,82.61175037841804,-7.388249621581967,-0.12859221918000507
52,938,619,189,39.89522957172396,25.12798019906151,226.07299706068392,82.61175037841804,-7.388249621581967,-0.12859221918000507
52,976,647,166,39.89522957172396,25.12798019906151,226.07299706068392,82.61175037841804,-7.388249621581967,-0.12859221918000507
52,1000,667,153,39.89522957172396,25.12798019906151,226.07299706068392,82.61175037841804,-7.388249621581967,-0.12859221918000507
53,901,651,167,-74.1856817777315,-15.342664930794953,249.44137587818105,63.7997039787586,-26.200296021241396,-0.44151048851188157
53,878,587,185,-74.1856817777315,-15.342664930794953,249.44137587818105,63.7997039787586,-26.200296021241396,-0.44151048851188157
53,866,535,200,-74.1856817777315,-15.342664930794953,249.44137587818105,63.7997039787586,-26.200296021241396,-0.44151048851188157
53,847,474,217,-74.1856817777315,-15.342664930794953,249.44137587818105,63.7997039787586,-26.200296021241396,-0.44151048851188157
53,839,436,226,-74.1856817777315,-15.342664930794953,249.44137587818105,63.7997039787586,-26.200296021241396,-0.44151048851188157
53,834,411,233,-74.1856817777315,-15.342664930794953,249.44137587818105,63.7997039787586,-26.200296021241396,-0.44151048851188157
54,927,632,166,41.28908811663349,10.329536696492156,139.4238143216574,156.24479357004827,66.24479357004827,0.9152748780126442
54,887,667,155,41.28908811663349,10.329536696492156,139.4238143216574,156.24479357004827,66.24479357004827,0.9152748780126442
54,847,703,146,41.28908811663349,10.329536696492156,139.4238143216574,156.24479357004827,66.24479357004827,0.9152748780126442
54,822,724,141,41.28908811663349,10.329536696492156,139.4238143216574,156.24479357004827,66.24479357004827,0.9152748780126442
55,962,596,261,-35.50386679399606,-5.713747331917039,120.53215338655491,98.0287802997049,8.02878029970491,0.13967050591486543
55,944,580,264,-35.50386679399606,-5.713747331917039,120.53215338655491,98.0287802997049,8.02878029970491,0.13967050591486543
55,927,567,266,-35.50386679399606,-5.713747331917039,120.53215338655491,98.0287802997049,8.02878029970491,0.13967050591486543
