     c      x      y      z
   168   1916    955    252
   169      4    857    253
   169   1910    946    253
   170      0    860    254
   170   1919    949    254
   171      0    857    255
   171   1919    947    255
   172      0    854    256
   172   1910    946    256
   173      0    860    257
   173   1910    955    257
   174      1    857    258
   174   1913    946    258
   175      0    857    259
   175   1907    942    259
   176      6    861    260
   176   1910    943    260
   177      1    857    261
   177   1910    946    261
   178      3    860    262
   178   1916    955    262
   179      3    860    263
   179   1916    952    263
   180      0    860    264
   180   1916    946    264
   181      0    863    265
   181   1913    949    265
   182      1    857    266
   182   1910    949    266
   183      0    860    267
   183   1907    942    267
   184      4    857    268
   184   1916    946    268
   185      6    864    269
   185   1916    955    269
   186      3    863    270
   186   1907    948    270
   187      6    861    271
   187   1915    958    271
   188      0    863    272
   188   1907    948    272
   189      0    860    273
   189   1904    948    273
   190      0    863    274
   190   1907    945    274
   191      4    857    275
   191   1910    949    275
   192      0    860    276
   192   1910    952    276
   193      0    863    277
   193   1916    943    277
   194      3    863    278
   194   1916    952    278
   195      3    863    279
   195   1913    952    279
   196      3    866    280
   196   1916    952    280
   197      9    864    281
   197   1919    949    281
   198      0    860    282
   198   1910    946    282
   199      0    860    283
   199   1919    952    283
   200      4    857    284
   200   1916    946    284
   201      3    863    285
   201   1916    949    285
   202      3    863    286
   202   1916    946    286
   203      0    869    287
   203   1910    949    287
   204      0    863    288
   204   1916    952    288
   205      0    863    289
   205   1919    955    289
   206      0    860    290
   206   1910    952    290
   207      0    860    291
   207   1919    946    291
   208      0    866    292
   208   1910    949    292
   209      6    861    293
   209   1913    949    293
   210      0    863    294
   210   1919    952    294
   211      3    863    295
   211   1913    952    295
   212      0    866    296
   212   1916    952    296
   213      0    863    297
   213   1910    955    297
   214      3    866    298
   214   1915    958    298
   215      0    863    299
   215   1916    955    299
   216      0    863    300
   216   1916    949    300
   217      0    863    301
   217   1916    955    301
   218      0    860    302
   218   1913    955    302
   219      0    863    303
   219   1910    946    303
   220      3    869    304
   220   1916    952    304
   221      0    872    305
   221   1909    958    305
   222      0    860    306
   222   1916    952    306
   223      0    860    307
   223   1907    954    307
   224      0    866    308
   224   1916    949    308
   225      0    863    309
   225   1907    954    309
   226      0    860    310
   226   1919    955    310
   227      6    864    311
   227   1912    961    311
   228      3    863    312
   228   1907    951    312
   229      3    846    173
   229   1911    954    173
